Sentence,Length
are your freezing  are you home yet  will you remember to kiss your mom in the morning do you love me  do you think of me  are you missing me yet ,146
you all ready for  big day tomorrow,35
ill probably be around mu a lot,31
,0
thnx dude u guys out nite,25
me sef dey laugh you meanwhile hows my darling anjie,52
mm i had my food da from out,28
k makes sense btw carlos is being difficult so you guys are gonna smoke while i go pick up the second batch and get gas,119
did u download the fring app,28
the  oz guy is being kinda flaky but one friend is interested in picking up  ltgt  worth tonight if possible,108
friends that u can stay on fb chat with,39
fuck babe i miss you sooooo much  i wish you were here to sleep with me  my bed is so lonely  i go now to sleep  to dream of you my love ,137
living is very simple loving is also simple laughing is too simple winning is tooo simple but being simple is very difficult gud nte,132
ah well that confuses things doesnычt it,40
hi dear call me its urgnt i dont know whats your problem you dont want to work or if you have any other problem at least tell me wating for your reply,150
dear how you are you ok,23
yes princess i want to make you happy,37
sounds like you have many talents would you like to go on a dinner date next week,81
i am going to film day da at pm sorry da,40
we not watching movie already xy wants  shop so im shopping w her now,69
hello my little party animal i just thought id buzz you as you were with your friends grins reminding you were loved and send a naughty adoring kiss,148
yesterday its with me only  now am going home,45
you have come into my life and brought the sun shiny down on me warming my heart putting a constant smile on my face  making me feel loved and cared for,152
no shit but i wasnt that surprised so i went and spent the evening with that french guy i met in town here and we fooled around a bit but i didnt let him fuck me,161
great comedycant stop laughing da,33
alright were all set here text the man,38
hi  where are you were at  and theyre not keen to go out i kind of am but feel i shouldnt so can we go out tomo dont mind do you,128
sleeping nt feeling well,24
u will switch your fone on dammit,33
india have to take lead,23
ill post her out lr in class,28
thts wat wright brother did to fly,34
evening  v good if somewhat event laden will fill you in dont you worry ы head  ok but throat  wrecked see you at six then,122
if u laugh really loud if u talk spontaneously if u dont care what others feel u are probably with your dear amp best friends goodevening dear,142
its a laptop take it with you,29
i dont have any of your file in my bagi was in work when you called mei ll tell you if i find anything in my room,113
i wan but too early lei me outside now wun b home so early neva mind then,73
i was at bugis juz now wat but now im walking home oredi мп so late then reply i oso saw a top dat i like but din buy where r м now ,132
wishing you and your family merry x mas and happy new year in advance,69
at  we will go ok na,20
yes i posted a couple of pics on fb theres still snow outside too im just waking up ,84
sif we have one good partnership going we will take lead,56
yeah wheres your class at,25
no just send to you bec you in temple na,40
you arent coming home between class right i need to work out and shower,71
s but mostly not like that,26
мп v ma fan,11
dunno cos i was v late n when i reach they inside already but we ate spageddies lor its e gals who r laughing at me lor,119
guess who spent all last night phasing in and out of the fourth dimension,73
so now my dad is gonna call after he gets out of work and ask all these crazy questions,87
yesbut they said its it,23
very hurting n meaningful lines ever i compromised everything for my love,73
lmaonice ,9
glad to see your reply,22
nah dub but je still buff,25
painful words i thought being happy was the most toughest thing on earth but,76
yeah thats fine its еј to get in is that ok ,44
lol where do u come up with these ideas,39
so many people seems to be special at first sight but only very few will remain special to you till your last sight maintain them till life ends shjas,150
today is song dedicated day which song will u dedicate for me send this to all ur valuable frnds but first rply me,114
okay we wait ah,15
y lei,5
hi babe u r most likely to be in bed but im so sorry about tonight i really wanna see u tomorrow so call me at  love me xxx,123
already am squatting is the new way of walking,46
do you want bold  or bb torch,29
cramps stopped going back to sleep,34
nan sonathaya soladha why boss,30
bring tat cd don forget,23
i dont know but im raping dudes at poker,40
weightloss no more girl friends make loads of money on ebay or something and give thanks to god,95
was gr to see that message so when r u leaving congrats dear what school and wat r ur plans,91
мп eatin later but im eatin wif my frens now lei мп going home first ,69
finish already yar they keep saying i mushy i so embarrassed ok,63
sorry man my stash ran dry last night and i cant pick up more until sunday,74
hai priya are you right what doctor said pa where are you,57
ok,2
please ask mummy to call father,31
can come my room but cannot come my house cos my house still messy haha,71
i have lost  kilos as of today,30
just taste fish curry p,23
what can i do might accidant tookplace between somewhere ghodbandar rd traffic moves slovely so plz slip amp dont worry,119
yun ahnow м wkg wherebtw if м go nus sc мп wana specialise in wad,65
yes i am a one woman man please tell me your likes and dislikes in bed,70
was doing my test earlier i appreciate you will call you tomorrow,65
hows my loverboy doing  what does he do that keeps him from coming to his queen hmmm  doesnt he ache to speak to me  miss me desparately ,137
u meet other fren dun wan meet me ah muz b a guy rite,53
